hash,obfuscated,time
f2be2729159ee5a87ff1e413144a9b6f,True,17.57
d89dad6f1aea9f75e800239298bffda8,True,13.11
4699c430caa5c1eb6c1d4bc94174f6e4,True,7.05
a5222b26884db2ea9727eabe7539a9dd,True,19.06
9b69f4320839652643eb86befd311f27,True,12.24
91ca9b77ecb93597cf04e46dbf2486f8,True,19.88
290394ae66dd3a402549d6914cf3e0ed,True,18.80
bdea8f2981e535d84a8c14b9ace82e9b,True,12.70
c9df9ed8ec5f7684837bc1d8f582e20b,True,43.31
e3640ad97124071c3017be5eea51f476,True,43.08
2928f029eddf12bfa58fb3939a33c87a,True,17.53
8015ac77c7927565df1752e15ca475f1,True,27.55
9adac1d1df6c01ab09d21ad7d22e12d8,True,16.78
e66533d2b54404669f0bde8920421cbe,True,15.15
be880616f97cdba2f074e1cf4be6b493,True,23.31
196e0ec0f0d1097dd970946b2a57a24d,True,16.58
51555b41c57806be45c57d4651c871f9,True,15.86
26f095147c5c291c057b8824abcb35b6,True,17.38
b1620bd35367588a76a63cb587ac2f4a,True,17.68
5e96f6556d8601914f3f125c3d1445e5,True,19.93
6e0225c37880b8c5fc005128044cf658,True,17.45
a148de18f04d3ee2e4530bd9b5a07a9b,True,19.24
6b7449dda103f0e051cb91564db441e3,True,17.06
a780fc9a6a10abcaf52eb0c51aa35edf,True,57.35
5463229fcde2607287f42de565aab2b7,True,27.41
cce77970121aa3af81e892f9a606e170,True,64.05
491efd758126d716ebaa0ef175672cb0,True,14.19
39cf8bc8a1c3fc4fb5d32faa9125c84d,True,18.98
da6ffba5e1e1aba4aad8971f3b1a1e21,True,34.65
7425ab9410e359301ca944cf77302a44,True,20.18
be25f58b0e7d0ebc696020834c66810d,True,39.74
78f2e1b953652c615794f71c82ce9eef,True,23.53
394b28bfdbab9d60fc360a1fa774c212,True,37.94
bca8798bd0c8c3f5276f3a0fcd2a52bc,True,16.46
611257fdff91e2ac0a7972134a508515,True,16.22
bf0ca7f19d3b0aca13c42c45846f51fc,True,22.07
42d7287110cc5484495458f4b5b48787,True,29.75
84cd646bd174ba18e48b4e6d5ced089e,True,18.79
c43e6676f0b218386dfa0931f5c2f3af,False,18.43
39c3b866a64b7c138a88412157e23197,True,24.80
3f9b4a9780e312d42280883074c17aa7,True,3.26
059fbe0b1ee2a5f3e8592a2cb19c77fb,True,17.72
ca9886de7101a04c9a34840973d2b44c,True,20.33
5a9993e3e5539663280b57ac0375cbed,True,28.09
c4c670114c127e8aaa8e2756f3076768,True,17.50
4f4d0b70ea656bf7b4ea1c847f2e5da4,True,48.29
10535d8e78a8b45846b29dd50d3b58bd,True,14.32
5c5dee974c7f6d6210e84d2644a984c6,True,40.79
8b93e47ec2b9fea6ef1e0977e6e3422f,True,3.10
0b7d25d1c9d0d33da0d9edb8d911d580,True,24.03
2eb6acdc01cbcda2da27afc941e3b9c5,True,20.44
3e54b2527f74e59bc1a7133da1442737,True,17.73
23f8eefd03ca09cc8fb8ad4c3af295c0,True,8.39
0af8bf82e548424909f822a32b2f5493,True,12.50
1c6d648206521ac9f807db032bad005f,True,14.44
ccf399f16f9b0d2111694b96dc226786,True,42.70
58dd7b9e581b765c8d3939e2ae9e1a0b,True,11.62
d128e5e5cde4b6fd3fd5f2a641670b0d,True,12.05
3e3f78b9bca45b7ccfc21b1d257c951d,True,21.36
4f9489f4b9f6494b62f2b7fdeab132a0,True,62.25
0da4d77baf1f401cf34d6097312b3a77,True,2.84
8a8a6dd26b402bd4e0a7f08ead96a233,True,17.67
7c8c29875de80e5c8185a0875f1e1520,True,25.50
2ca3c444ba2a0deeaf149b3a267f774d,True,14.65
133dadd8ca26134610ed09c1959536fd,True,16.77
0db283cbc0e4406ece824af54ab9fe7a,True,35.14
ffbf096f3695c85b46bb952482023537,True,27.77
f5bf1209ef7038f0f4f4bb14877585f1,True,22.01
0ba1181b253d3e31a1118ef726fb6e1c,True,10.60
b1a343a80ef88159e9b17bef49291ce8,True,30.83
fb91274a892672a6036a8abed6b00d0a,True,25.98
40653b22554b3333b5b3254353f90092,True,55.90
fecf82a58f7fe1a4b6b45fe044cb9242,True,14.05
e83d10eeb2ae8bd6c3e0b84e01d3766d,True,84.67
d8ec1e50c091cb531c4707498664bc5d,True,22.12
845e357d59c100924c75a49c59497150,True,27.61
dc8d48d92dabc16e8bf4d5b9dfe23596,True,24.49
245053e7c8873e1a1238f9ff7eb86dca,True,22.55
10ced9137d277bb752a7ee6f09914da7,True,39.91
e5304e1e3c27bde2564507ef640eb434,True,15.39
0926f1829681cd012ba33120aaa921de,True,11.66
c51effeaa590c781dcb75b2823d9da68,True,23.07
4e8aab27dae3446c01b7f2ed14ddda5d,True,18.41
fc1df9a52d599ae2e196dbb46f67cbf0,True,60.62
edf38ccadc51466fe68970c89c7aef25,True,18.55
150439676f1e31e4f7653be6e49a6b6f,True,41.69
e0a6dc099b1f5c1a3ff0d7cfc9ad56d7,True,14.87
b9d4976f8c5c5c1e09256cd9de2bb517,True,16.86
66bd891b5ff96b7ddd68c476e1b46ed0,True,12.36
5772180de38e52e21dffe1259efa1350,True,28.20
7e99663efa0962700ae254f864e3dd93,True,17.75
e9d95026c932923ce537150b4d4b5478,True,23.42
94681d341e7135a7c7310c4b9cfdea86,True,14.12
c90cc21e6ca7a13c9ede5300337a505d,True,136.88
4432f77e6092ba87e843a4ce9758975d,True,14.28
53aad2a5a6972b0242a672f076ccdf43,True,10.04
fefc63aa48011d8c321bfbc08ac805f1,True,22.22
